"user","window_start_utc","window_end_utc","satellites","point_id","lat","lon","required_interval_hours"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85259|116.35381|52","-31.85259","116.35381","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85342|116.35728|53","-31.85342","116.35728","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85426|116.36082|54","-31.85426","116.36082","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84675|116.32932|55","-31.84675","116.32932","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84846|116.33646|56","-31.84846","116.33646","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85016|116.3436|57","-31.85016","116.3436","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85098|116.34705|58","-31.85098","116.34705","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85179|116.35044|59","-31.85179","116.35044","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85509|116.36428|60","-31.85509","116.36428","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85761|116.3523|61","-31.85761","116.3523","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85516|116.34196|62","-31.85516","116.34196","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85256|116.37624|63","-31.85256","116.37624","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84263|116.33463|64","-31.84263","116.33463","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84432|116.34171|65","-31.84432","116.34171","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84516|116.34522|66","-31.84516","116.34522","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-32.16084|116.72139|67","-32.16084","116.72139","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84597|116.34864|68","-31.84597","116.34864","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84677|116.35198|69","-31.84677","116.35198","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-32.16134|116.72065|70","-32.16134","116.72065","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84758|116.35536|71","-31.84758","116.35536","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85338|116.37968|72","-31.85338","116.37968","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85173|116.37278|73","-31.85173","116.37278","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.8509|116.36931|74","-31.8509","116.36931","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85007|116.36581|75","-31.85007","116.36581","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.62795|120.56577|0","-30.62795","120.56577","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.6275|120.57|1","-30.6275","120.57","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.6325|120.56211|2","-30.6325","120.56211","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.63204|120.56634|3","-30.63204","120.56634","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.63704|120.55843|4","-30.63704","120.55843","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.63659|120.56264|5","-30.63659","120.56264","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0520|-30.69099|120.59079|6","-30.69099","120.59079","12"
